asset_instance_id,source_instance_id,source_id,source_path,relative_path,repo_canonical_path,sha256,duplicate_group,bytes,image_format,width,height,image_mode,has_alpha,provenance_class,review_batch,review_status,approval_status,usage_status,content_summary,embedded_text_status,identity_sensitivity,notes
vis_000001,src_000018,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-000.jpg,assets/card-000.jpg,assets/card-000.jpg,6483da957c54d0bc83d995ba81c66722d6ba8f0399dc2e3eabdfc6e041817d3c,6483da957c54d0bc,17731,JPEG,1426,980,RGB,False,legacy_export_fragment,repo_legacy_fragments,reviewed,not_approved_as_standalone,not_consumed,Legacy cropped layer mask text remnant or export fragment from prior card artwork.,fragment_may_include_text,none_observed,
vis_000002,src_000019,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-001.png,assets/card-001.png,assets/card-001.png,cefed993a1be43a1008c04a5f256a982b952ce0d999efabe1604431e8caea9cd,cefed993a1be43a1,24707,PNG,423,748,RGB,False,legacy_export_fragment,repo_legacy_fragments,reviewed,not_approved_as_standalone,not_consumed,Legacy cropped layer mask text remnant or export fragment from prior card artwork.,fragment_may_include_text,none_observed,
vis_000003,src_000020,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-002.jpg,assets/card-002.jpg,assets/card-002.jpg,c7bd39c02981b8eb8262de2c1e8fa99da5a263321384916ab1864aaa03ecb5eb,c7bd39c02981b8eb,6413,JPEG,419,744,L,False,legacy_export_fragment,repo_legacy_fragments,reviewed,not_approved_as_standalone,not_consumed,Legacy cropped layer mask text remnant or export fragment from prior card artwork.,fragment_may_include_text,none_observed,
vis_000004,src_000021,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-003.png,assets/card-003.png,assets/card-003.png,7d92fd8434a56bb2ad094e36ed336ac7453ed8a0eb3788370c2f38742cd7bd69,7d92fd8434a56bb2,1951,PNG,419,744,RGB,False,legacy_export_fragment,repo_legacy_fragments,reviewed,not_approved_as_standalone,not_consumed,Legacy cropped layer mask text remnant or export fragment from prior card artwork.,fragment_may_include_text,none_observed,
vis_000005,src_000022,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-004.jpg,assets/card-004.jpg,assets/card-004.jpg,c7bd39c02981b8eb8262de2c1e8fa99da5a263321384916ab1864aaa03ecb5eb,c7bd39c02981b8eb,6413,JPEG,419,744,L,False,legacy_export_fragment,repo_legacy_fragments,reviewed,not_approved_as_standalone,not_consumed,Legacy cropped layer mask text remnant or export fragment from prior card artwork.,fragment_may_include_text,none_observed,
vis_000006,src_000023,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-005.png,assets/card-005.png,assets/card-005.png,e61ab118ce41321bcfc2129e3e7c77b5d74b1bb776ee451503a3c673c630e5b7,e61ab118ce41321b,24394,PNG,460,749,RGB,False,legacy_export_fragment,repo_legacy_fragments,reviewed,not_approved_as_standalone,not_consumed,Legacy cropped layer mask text remnant or export fragment from prior card artwork.,fragment_may_include_text,none_observed,
vis_000007,src_000024,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-006.jpg,assets/card-006.jpg,assets/card-006.jpg,9821756feff1c2b400fe1237b581fdf499000971ea811163a01aaa40e4f83f59,9821756feff1c2b4,6798,JPEG,456,745,L,False,legacy_export_fragment,repo_legacy_fragments,reviewed,not_approved_as_standalone,not_consumed,Legacy cropped layer mask text remnant or export fragment from prior card artwork.,fragment_may_include_text,none_observed,
vis_000008,src_000025,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-007.png,assets/card-007.png,assets/card-007.png,fa448da95b26d9bcab5ba6474716bbe5e9b4f59bc2d6b996b8e63bbe7878e6c3,fa448da95b26d9bc,2031,PNG,456,745,RGB,False,legacy_export_fragment,repo_legacy_fragments,reviewed,not_approved_as_standalone,not_consumed,Legacy cropped layer mask text remnant or export fragment from prior card artwork.,fragment_may_include_text,none_observed,
vis_000009,src_000026,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-008.jpg,assets/card-008.jpg,assets/card-008.jpg,9821756feff1c2b400fe1237b581fdf499000971ea811163a01aaa40e4f83f59,9821756feff1c2b4,6798,JPEG,456,745,L,False,legacy_export_fragment,repo_legacy_fragments,reviewed,not_approved_as_standalone,not_consumed,Legacy cropped layer mask text remnant or export fragment from prior card artwork.,fragment_may_include_text,none_observed,
vis_000010,src_000027,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-009.png,assets/card-009.png,assets/card-009.png,fd8e0ca07044529713b58b1055a5e1b659c89581363c93929c0088194675b88e,fd8e0ca070445297,60636,PNG,840,748,RGB,False,legacy_export_fragment,repo_legacy_fragments,reviewed,not_approved_as_standalone,not_consumed,Legacy cropped layer mask text remnant or export fragment from prior card artwork.,fragment_may_include_text,none_observed,
